# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Nov 27 15:59:17 2023
#
# User preference: *
#
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
#
st_mass,st_masserr1,st_masserr2,st_masslim,st_logg,st_loggerr1,st_loggerr2,st_logglim
2.60,0.40,-0.30,0,,,,
2.70,0.30,-0.30,0,2.31,0.10,-0.10,0
2.09,0.64,-0.63,0,2.45,0.08,-0.08,0
2.78,0.69,-0.69,0,1.93,0.07,-0.07,0
1.70,0.40,-0.30,0,,,,
1.80,0.25,-0.25,0,1.60,0.15,-0.15,0
1.78,0.43,-0.29,0,2.55,0.06,-0.07,0
1.20,0.40,-0.30,0,,,,
2.20,0.10,-0.20,0,2.63,0.07,-0.07,0
,,,,,,,
0.91,0.14,-0.09,0,4.40,0.09,-0.09,0
0.91,0.11,-0.11,0,,,,
0.90,0.04,-0.04,0,4.45,0.02,-0.02,0
0.90,,,0,4.40,0.15,-0.15,0
0.97,0.04,-0.04,0,4.43,0.03,-0.03,0
1.00,,,0,,,,
0.90,,,0,,,,
0.98,0.04,-0.04,0,4.30,0.03,-0.03,0
0.99,,,0,4.36,,,0
1.00,0.05,-0.05,0,4.35,0.07,-0.07,0
1.03,0.15,-0.12,0,4.35,0.10,-0.07,0
,,,,,,,
1.08,0.04,-0.04,0,4.36,0.01,-0.01,0
1.22,0.13,-0.14,0,1.70,0.04,-0.06,0
2.30,,,0,2.82,0.06,-0.06,0
2.10,0.13,-0.09,0,2.87,0.03,-0.05,0
2.10,0.10,-0.10,0,,,,
0.85,0.20,-0.10,0,,,,
0.85,0.20,-0.10,0,,,,
